Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2023-03-16T07:52:36-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03650000,Equity Option,Sold 1 SPX 04/21/23 Put 3650.00 @ 33.52,"3,352.00",1,"3,352.00",0.00,-0.782,100,SPX,SPX,4/21/23,3650.0,PUT,259826526,USD
2023-03-16T07:52:36-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03500000,Equity Option,Sold 1 SPX 04/21/23 Put 3500.00 @ 17.79,"1,779.00",1,"1,779.00",0.00,-0.782,100,SPX,SPX,4/21/23,3500.0,PUT,259826526,USD
2023-03-15T09:44:45-0700,Trade,Sell to Open,SELL_TO_OPEN,SPX   230421P03600000,Equity Option,Sold 2 SPX 04/21/23 Put 3600.00 @ 45.95,"9,190.00",2,"4,595.00",-2.00,-1.565,100,SPX,SPX,4/21/23,3600.0,PUT,259647077,USD
2023-03-15T09:44:45-0700,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03650000,Equity Option,Bought 1 SPX 04/21/23 Put 3650.00 @ 55.10,"-5,510.00",1,"-5,510.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3650.0,PUT,259647077,USD
2023-03-15T09:44:45-0700,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03500000,Equity Option,Bought 1 SPX 04/21/23 Put 3500.00 @ 32.20,"-3,220.00",1,"-3,220.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3500.0,PUT,259647077,USD
2023-03-14T06:59:06-0700,Trade,Buy to Close,BUY_TO_CLOSE,SQ    230421C00080000,Equity Option,Bought 1 SQ 04/21/23 Call 80.00 @ 2.51,-251.00,1,-251.00,0.00,-0.13,100,SQ,SQ,4/21/23,80.0,CALL,259326501,USD
2023-03-14T06:59:06-0700,Trade,Buy to Close,BUY_TO_CLOSE,SQ    230421P00065000,Equity Option,Bought 1 SQ 04/21/23 Put 65.00 @ 2.68,-268.00,1,-268.00,0.00,-0.13,100,SQ,SQ,4/21/23,65.0,PUT,259326501,USD
2023-03-14T06:57:01-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03500000,Equity Option,Sold 1 SPX 04/21/23 Put 3500.00 @ 15.64,"1,564.00",1,"1,564.00",0.00,-0.782,100,SPX,SPX,4/21/23,3500.0,PUT,259324766,USD
2023-03-14T06:57:01-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03650000,Equity Option,Sold 1 SPX 04/21/23 Put 3650.00 @ 30.77,"3,077.00",1,"3,077.00",0.00,-0.782,100,SPX,SPX,4/21/23,3650.0,PUT,259324766,USD
2023-03-14T06:57:01-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPX   230421P03600000,Equity Option,Bought 2 SPX 04/21/23 Put 3600.00 @ 24.43,"-4,886.00",2,"-2,443.00",0.00,-1.56,100,SPX,SPX,4/21/23,3600.0,PUT,259324766,USD
2023-03-13T12:15:49-0700,Trade,Buy to Open,BUY_TO_OPEN,IWM   230421P00145000,Equity Option,Bought 1 IWM 04/21/23 Put 145.00 @ 0.71,-71.00,1,-71.00,-1.00,-0.13,100,IWM,IWM,4/21/23,145.0,PUT,259242003,USD
2023-03-13T12:15:49-0700,Trade,Sell to Open,SELL_TO_OPEN,IWM   230421P00160000,Equity Option,Sold 1 IWM 04/21/23 Put 160.00 @ 2.15,215.00,1,215.00,-1.00,-0.142,100,IWM,IWM,4/21/23,160.0,PUT,259242003,USD
2023-03-13T12:15:49-0700,Trade,Buy to Open,BUY_TO_OPEN,IWM   230421C00202000,Equity Option,Bought 1 IWM 04/21/23 Call 202.00 @ 0.14,-14.00,1,-14.00,-1.00,-0.13,100,IWM,IWM,4/21/23,202.0,CALL,259242003,USD
2023-03-13T12:15:49-0700,Trade,Sell to Open,SELL_TO_OPEN,IWM   230421C00187000,Equity Option,Sold 1 IWM 04/21/23 Call 187.00 @ 1.41,141.00,1,141.00,-1.00,-0.142,100,IWM,IWM,4/21/23,187.0,CALL,259242003,USD
2023-03-13T10:53:14-0700,Trade,Buy to Open,BUY_TO_OPEN,NVDA  230421C00255000,Equity Option,Bought 1 NVDA 04/21/23 Call 255.00 @ 6.25,-625.00,1,-625.00,-1.00,-0.13,100,NVDA,NVDA,4/21/23,255.0,CALL,259212853,USD
2023-03-13T10:53:14-0700,Trade,Sell to Open,SELL_TO_OPEN,NVDA  230421C00245000,Equity Option,Sold 1 NVDA 04/21/23 Call 245.00 @ 9.40,940.00,1,940.00,-1.00,-0.142,100,NVDA,NVDA,4/21/23,245.0,CALL,259212853,USD
2023-03-13T06:50:03-0700,Trade,Sell to Close,SELL_TO_CLOSE,NVDA  230421P00230000,Equity Option,Sold 1 NVDA 04/21/23 Put 230.00 @ 16.95,"1,695.00",1,"1,695.00",0.00,-0.152,100,NVDA,NVDA,4/21/23,230.0,PUT,259077277,USD
2023-03-13T06:49:43-0700,Trade,Buy to Close,BUY_TO_CLOSE,NVDA  230317P00220000,Equity Option,Bought 1 NVDA 03/17/23 Put 220.00 @ 4.20,-420.00,1,-420.00,0.00,-0.13,100,NVDA,NVDA,3/17/23,220.0,PUT,259076759,USD
2023-03-11T06:55:54-0800,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.08,0,,--,0.00,,,,,,,,USD
